"cloud_RoleInstance","average_processor_time","average_processor_time_normalized","cpu_count","instance_begin [UTC]","instance_end [UTC]","instance_duration","average_ram_used_bytes","average_ram_available_bytes","avg_io_bytes_sec","full_percentile_duration_25","full_percentile_duration_50","full_percentile_duration_75","full_percentile_duration_90","full_percentile_duration_95","full_percentile_duration_99","full_min_duration","full_average_duration","full_max_duration","full_request_count","request_percentile_duration_25","request_percentile_duration_50","request_percentile_duration_75","request_percentile_duration_90","request_percentile_duration_95","request_percentile_duration_99","request_min_duration","request_average_duration","request_max_duration","incoming_request_count","table_percentile_duration_25","table_percentile_duration_50","table_percentile_duration_75","table_percentile_duration_90","table_percentile_duration_95","table_percentile_duration_99","table_min_duration","table_average_duration","table_max_duration","table_request_count"
"A87A0A3E-637952831019705686","3.349316768037236","1.6746595999149163",2,"05/08/2022, 08:01:21.432","05/08/2022, 08:27:26.463","00:26:05.0310000","666455760.5925926",,,"27.427168217229198","31.910934693072704","38.356480891381345","48.561424","64.2792","144.354","21.3472","39.159125557809304","2500.4809",1972,"43.1978375974026","65.83822884615384","104.28352439889255","128.29053066666665","137.157125","177.4385","21.588","77.61556161257602","2453.7316",1972,"10.060622101787102","10.80310792929293","12.074465948337377","14.133606666666665","15.9537","20.4049","8.3134","13.096776926977698","1263.4003",1972
"A87A0A3E-637952829970650164","2.8867033733786056","1.4433547398876623",2,"05/08/2022, 08:15:47.660","05/08/2022, 08:41:52.693","00:26:05.0330000","719549477.925926",,,"16.281157142857143","19.789949837662338","25.71637812167832","34.273833333333336","45.43155185185185","96.015","9.8909","40.83518188622751","12816.2344",2004,"43.25428068415638","63.8920313939394","102.41322425213674","127.40882933333333","139.5039","161.0526","21.8635","78.3773659181636","2954.3132",2004,"9.929724204653372","10.57448267379679","11.758539897435899","13.539686632653062","14.98525","20.2759","7.8505","13.676482435129744","2175.4546",2004
"A87A0A3E-637952844199470654","2.441104908325602","1.2205535027151138",2,"05/08/2022, 08:29:18.100","05/08/2022, 08:58:23.127","00:29:05.0270000","859932535.4666667",,,"23.037074255658872","25.44298512820513","29.414109327604216","39.285768979591836","46.25646666666666","98.7212","19.2322","32.41413342696626","3876.3037",2136,"37.608399999999996","60.598117144796376","97.34822566378067","124.34181316137567","134.3736287037037","196.1111","20.5287","73.78942326779027","3863.5139",2136,"8.828517598290599","9.478327495265154","10.476998972902097","11.925359523809522","13.614972222222221","18.508","7.1028","12.004890074906365","2295.8297",2136
"A87A0A3E-637952829571547171","2.7165967170721967","1.3582981656305997",2,"05/08/2022, 08:00:57.211","05/08/2022, 08:02:57.214","00:02:00.0030000","677135701.3333334",,,"24.152","27.2074","32.2554","42.6148","86.6727","1556.6468","20.2147","61.48993130434783","2289.0299",230,"41.4338","62.9988","101.256","127.3654","142.0756","1651.1269","22.7317","100.71235043478252","2056.0788",230,"8.7748","9.43685","10.3033","11.7823","15.002","148.1262","7.6299","17.144945652173906","1169.1828",230
"A87A0A3E-637952876097878924","2.9653241989327173","1.4826621625905931",2,"05/08/2022, 09:22:21.052","05/08/2022, 09:49:26.085","00:27:05.0330000","722619245.7142857",,,"24.67945840307253","28.06341050420168","32.2596120292101","41.00821928571428","48.31463888888889","98.7751","20.4582","32.02583113994437","760.7074",2158,"41.0081407967033","61.306503539388245","97.99061296296296","126.46822807539684","137.4685","171.0848","22.357","72.51563577386472","815.2496",2158,"9.893319896214898","10.545136286200336","11.603852220618888","13.323453222222224","15.019922222222222","19.1719","7.9618","11.2386841519926","154.7359",2158
"A87A0A3E-637952862274362359","3.0010329857802756","1.5005169847387057",2,"05/08/2022, 09:37:05.409","05/08/2022, 10:02:10.443","00:25:05.0340000","554526877.5384616",,,"22.857990311040762","25.63543960526316","30.148314657448445","38.12970592592593","46.87705520833333","78.5473","18.6826","29.13764066091958","591.2576",2784,"36.57658381987627","57.698995445011334","98.85707922558922","122.87779694444444","133.36271458333334","158.6843","19.777","69.68519367816093","707.4976",2784,"8.901936664569863","9.58779187948947","10.967425445843134","13.535197484016756","14.519548888888888","18.6193","6.826","10.409943642241382","146.6955",2784
"A87A0A3E-637952869564495054","2.836642051666114","1.3184256102589778",2,"05/08/2022, 09:56:41.351","05/08/2022, 10:01:42.362","00:05:01.0110000","598139562.6666666",,,"23.687219875","27.06382222222222","34.8977816","13134.236225","28729.3849","41147.0748","19.6632","3199.8453363750036","44807.2794",800,"41.041459624999995","69.76762040816327","115.42818888888888","161.89045","250.4514","17705.8925","19.6505","604.827555750001","17708.9808",800,"8.783025","9.636016375121477","11.280184765625","15.925","43.4713","413.7552","7.1503","25.346267749999992","547.2758",800
"A87A0A3E-637952866783677464","1.5854635236662957","0.7927399354429886",2,"05/08/2022, 09:04:25.540","05/08/2022, 09:31:30.565","00:27:05.0250000","882537910.8571428",,,"22.64192805555556","25.76251166666667","32.4763453125","47.602824999999996","129.2375","27662.443","15.9652","1135.0652711206906","30064.2652",696,"38.609347222222226","64.14779666666666","105.59051944444444","134.54035","174.4149","9508.4652","19.8059","457.62548706896547","9513.3097",696,"8.834941666666667","9.5888525","10.699466666666666","13.181875","31.1499","592.8024","7.1663","34.4341554597701","603.1321",696
"A87A0A3E-637952829571547167","2.0164461720997453","1.00822449185115",2,"05/08/2022, 09:04:15.377","05/08/2022, 09:31:20.416","00:27:05.0390000","584441124.5714285",,,"26.465944444444442","30.006786666666663","35.29604","85.2978","12216.2161","36801.1706","21.6104","1812.25519891892","39176.5492",740,"44.61137958333333","68.34606133333334","108.90205156249999","145.93395","252.2577","15850.7675","22.8807","613.0001499999996","17728.0596",740,"9.850595833333333","10.610321066666668","12.081675","16.216875","56.4612","615.1478","8.1108","39.86674972972977","2655.883",740
"A87A0A3E-637952867384976842","2.2914405928782786","1.1457214907232083",2,"05/08/2022, 09:04:35.955","05/08/2022, 09:36:42.013","00:32:06.0580000","764794942.060606",,,"23.90022625","26.504904775158998","31.13741867261905","37.908175","44.975125","115.1283","19.8963","31.035254495912834","953.76",1468,"41.132739249751985","61.41256411206078","100.8987775510204","125.82201666666666","136.0191","156.6614","24.0764","73.62145837874665","1153.1987",1468,"9.765062187878787","10.49380969047619","11.613322916666668","13.115863333333333","14.4292","19.133","7.8534","11.496307697547685","332.4237",1468
"A87A0A3E-637952822166037125","2.706636261754019","1.3533188380267869",2,"05/08/2022, 08:43:52.156","05/08/2022, 09:13:58.185","00:30:06.0290000",565380608,,,"22.658193893541753","25.346169361419744","29.78236619526627","37.75955492495412","46.715875","92.6039","18.5155","30.576415290933713","1700.321",2956,"37.860600373477816","58.316318139469224","100.78819917963959","125.90570730410683","135.24965733333335","158.0365","19.2757","71.62783663734787","1764.5999",2956,"8.795910067873303","9.440210048441667","10.332775520833334","11.791224081632654","13.305674999999999","18.9703","6.9001","10.80445223274695","1176.7374",2956
